file_name,time,ent_count,sims_count,repetition
Generalbundesanwalt klagt ISIS-Braut Leonora M. an _ Regional _ BILD.de.pdf,8.598763299999973,22,118,4
Gib G(r)as!_ Polizei schnappt zugedröhnten Rasenmäher-Tuner (26) _ Regional _ BILD.de.pdf,2.656191799999988,6,8,4
Halle_ Mutmaßliches Drogen-Quartett vor Gericht _ Regional _ BILD.de.pdf,11.274289100000033,18,152,4
In der Pfalz_ Suff-Fahrer zerlegen ihre Autos _ Regional _ BILD.de.pdf,4.915639899999974,8,42,4
Mia (6) und Lio (3) erstickt_ Mord-Anklage gegen Mutter Johanna E.! _ Regional _ BILD.de.pdf,11.922645099999954,19,160,4
Mönchengladbach_ Mann und Frau nach Bluttat auf Feldweg festgenommen _ Regional _ BILD.de.pdf,4.016851799999927,12,28,4
Neonazi-Aktion in Dortmund_ Polizei durfte Ex-Feuerwehrchef nicht durchsuchen _ Regional _ BILD.de.pdf,12.972745999999916,19,112,4
Passant schwer verletzt_ Polizei jagt skrupellosen Raser _ Regional _ BILD.de.pdf,7.737015700000029,19,82,4
Prozess gegen den Kannibalen von Pankow beginnt am 10. August! _ Regional _ BILD.de.pdf,7.219782299999906,15,80,4
Prozess gegen mutmaßlichen Todesschützen_ Waffen-Arsenal in Geister-Villa _ Regional _ BILD.de.pdf,3.6807114999999158,7,20,4
Prozess in Mönchengladbach_ Rentner raste betrunken in Spielmannszug _ Regional _ BILD.de.pdf,3.0280775999999605,7,12,4
Prozess vor Berliner Landgericht - Kumpel mit Stahlkappen-Schuhen fast zu Tode getreten_  _ Regional _ BILD.de.pdf,6.684775700000046,15,68,4
Samuel Yeboah starb 1991 bei Brandanschlag_ Plakate erinnern an ermordeten Flüchtling _ Regional _ BILD.de.pdf,4.7184036000001015,17,56,4
Sie überfielen einen Juwelier_ Diese Polizisten sind Räuber und Gendarm _ Regional _ BILD.de.pdf,4.260196899999983,12,28,4
Solingen_ Wurde Todesmutter Christiane K. von ihrem Vater missbraucht_ _ Regional _ BILD.de.pdf,9.160518700000011,17,116,4
Stadtbibliothek München_ OB Reiters Machtwort gegen das Sitzverbot! _ Regional _ BILD.de.pdf,6.437809600000037,16,66,4
Stadtbibliothek Sendling_ Sitz-Verbots-PCs sind plötzlich kaputt! _ Regional _ BILD.de.pdf,2.7565624999999727,8,8,4
Wegen anzügliche Kommentare_ 23-Jähriger sticht Mann (40) nieder _ Regional _ BILD.de.pdf,2.6247209000000566,6,8,4
"Wegen Drogen, Waffen und Nötigung_ Rocker-Trio in Bochum vor Gericht _ Regional _ BILD.de.pdf",5.172421799999938,10,56,4
Weil er mit Drogen handelte_ Knast für Ex-Club-Vize _ Regional _ BILD.de.pdf,4.059938600000123,9,42,4
400 Fälle vor Ulmer Gericht_ 45-Jähriger gesteht sexuellen Missbrauch _ Regional _ BILD.de.pdf,1.9905518000000484,3,0,5
Aachen_ Arbeiter (37) erstach Bekannten (45) auf einem Feldweg _ Regional _ BILD.de.pdf,3.237530099999958,9,12,5
Al-Zein-Clan_ Sohn nach Razzia in Leverkusen wieder auf freiem Fuß _ Regional _ BILD.de.pdf,7.9334644999999,20,90,5
Berlin-Prozess_ Nachbar mit Hammer erschlagen und Leiche zerteilt – Angeklagter gesteht _ Regional _ BILD.de.pdf,3.2384422000000086,7,8,5
